iter	MultiClass
0	1.095208095
1	1.091684784
2	1.088481988
3	1.085410404
4	1.082534424
5	1.079914762
6	1.077393839
7	1.074964651
8	1.072618072
9	1.070242805
10	1.068118105
11	1.066014843
12	1.064026017
13	1.062174897
14	1.060227388
15	1.058335023
16	1.056627884
17	1.055110766
18	1.053640172
19	1.052156201
20	1.050751467
21	1.049409279
22	1.048061202
23	1.046790326
24	1.045625181
25	1.044301346
26	1.043277456
27	1.042212957
28	1.040943089
29	1.039959734
30	1.03869115
31	1.037756599
32	1.036617955
33	1.035703134
34	1.034828148
35	1.033683162
36	1.032693952
37	1.031886536
38	1.030738603
39	1.029983056
40	1.029069992
41	1.028303891
42	1.02750608
43	1.026708139
44	1.02590476
45	1.025075242
46	1.024255352
47	1.023585513
48	1.022607594
49	1.022002015
50	1.021243666
51	1.020638768
52	1.019941385
53	1.019349633
54	1.018436398
55	1.017830109
56	1.01728705
57	1.01654796
58	1.015856775
59	1.015336533
60	1.014621848
61	1.014013311
62	1.013283821
63	1.012730003
64	1.012170942
65	1.011763972
66	1.01127313
67	1.010785493
68	1.010311932
69	1.009855534
70	1.009330184
71	1.008631288
72	1.008158949
73	1.007589762
74	1.007078461
75	1.006523748
76	1.006100561
77	1.005468152
78	1.004953357
79	1.00434581
80	1.003485438
81	1.003091349
82	1.002489689
83	1.002050664
84	1.001628752
85	1.00115438
86	1.000803499
87	1.00020135
88	0.9996674905
89	0.9992324377
90	0.9988006671
91	0.9982736834
92	0.9979369842
93	0.9974624164
94	0.9970333144
95	0.9966401779
96	0.9962944698
97	0.9956932271
98	0.9951634656
99	0.994432401
100	0.9940858014
101	0.9937382674
102	0.9931606216
103	0.99273484
104	0.9924199923
105	0.9920978346
106	0.9916996309
107	0.9911447001
108	0.9908699502
109	0.9902020895
110	0.9898398061
111	0.9895394464
112	0.9891070324
113	0.9883874969
114	0.9878281675
115	0.9872700052
116	0.9867036837
117	0.9861650855
118	0.9858698872
119	0.9854883797
120	0.985004487
121	0.9843377454
122	0.9837105251
123	0.9834247392
124	0.9829574268
125	0.9821889645
126	0.9818768907
127	0.9812825063
128	0.9806383181
129	0.9800549105
130	0.9797112746
131	0.9793937836
132	0.9790818222
133	0.9788471916
134	0.9784610431
135	0.9779533139
136	0.9775134454
