iter	Passed	Remaining
0	273	164117
1	343	102799
2	425	84740
3	487	72664
4	556	66222
5	623	61702
6	702	59489
7	771	57056
8	867	56980
9	954	56321
10	1037	55528
11	1097	53755
12	1156	52206
13	1218	50985
14	1293	50436
15	1366	49877
16	1464	50209
17	1652	53420
18	1758	53772
19	1837	53296
20	1917	52876
21	2011	52848
22	2111	52963
23	2188	52525
24	2268	52165
25	2337	51596
26	2403	51010
27	2471	50496
28	2532	49860
29	2601	49426
30	2659	48812
31	2726	48393
32	2782	47816
33	2867	47730
34	2945	47549
35	3031	47488
36	3109	47311
37	3173	46935
38	3241	46622
39	3305	46279
40	3359	45808
41	3414	45360
42	3469	44937
43	3524	44543
44	3580	44164
45	3631	43735
46	3689	43413
47	3747	43090
48	3801	42745
49	3858	42446
50	3918	42180
51	3970	41844
52	4031	41603
53	4093	41390
