iter	MultiClass
0	1.092051477
1	1.086342694
2	1.081143307
3	1.076125828
4	1.071303832
5	1.067288752
6	1.063411611
7	1.060038692
8	1.056604674
9	1.053728453
10	1.050888033
11	1.048188732
12	1.045668747
13	1.043364156
14	1.041146459
15	1.038564563
16	1.036695001
17	1.034897499
18	1.033262206
19	1.031570637
20	1.029683237
21	1.027837435
22	1.026313127
23	1.024573552
24	1.023059365
25	1.021886343
26	1.02032036
27	1.019270489
28	1.018241793
29	1.016936004
30	1.015826584
31	1.014602516
32	1.013030093
33	1.011872916
34	1.010424644
35	1.009211493
36	1.007647096
37	1.006674508
38	1.005456
39	1.004435876
40	1.003421273
41	1.002285674
42	1.001225495
43	1.000368049
44	0.9996439903
45	0.9986851791
46	0.9975224692
47	0.9963804604
48	0.9955964916
49	0.9944976274
50	0.9936776439
51	0.9928939881
52	0.9918001167
53	0.9911385956
54	0.9904849042
55	0.9896918747
56	0.9885570863
57	0.9879110174
58	0.9873174524
59	0.9864217749
60	0.9856860083
61	0.9843318182
62	0.9833392156
63	0.9823273042
64	0.9813456003
65	0.9805265744
66	0.9800452373
67	0.9792888481
68	0.9786915362
69	0.9779132192
70	0.977428338
71	0.9770104707
72	0.9755999985
73	0.9748089448
74	0.9734273569
75	0.9729876774
76	0.9722421129
77	0.9716438997
78	0.9711040944
79	0.9706062218
80	0.9692557846
81	0.9687019503
82	0.9674571545
83	0.9664333126
84	0.9653487605
85	0.9647433067
86	0.9643324684
87	0.963360525
88	0.9628984171
89	0.9620145151
90	0.9615446769
91	0.9607382115
92	0.960337658
93	0.9598148011
94	0.9594322313
95	0.9591279001
96	0.9578841455
97	0.9571228952
98	0.9561710815
99	0.9554493442
100	0.954925027
101	0.9537186715
102	0.9530218399
103	0.9520448431
104	0.9513704312
105	0.9500651524
106	0.949459229
107	0.9484472652
108	0.9479346976
109	0.9473999962
110	0.9469852396
111	0.9464443032
112	0.9454501595
113	0.9441639689
114	0.9436221568
115	0.9427202656
116	0.9416543824
117	0.9409947429
118	0.9402548816
119	0.9399067536
120	0.939471432
121	0.9384550605
122	0.9377022028
123	0.9373920474
124	0.9367556799
125	0.9360978928
126	0.935562226
127	0.9351106893
128	0.9344069351
129	0.9337801192
130	0.9333694667
131	0.932364963
132	0.9318462063
133	0.9312353005
134	0.9305894712
135	0.9298900219
136	0.9289874955
137	0.9281019714
138	0.9276723978
139	0.9269818722
140	0.9264429072
141	0.925712502
142	0.9249347077
143	0.9246489287
144	0.9237382995
145	0.9228901499
146	0.9220747338
147	0.9216255317
148	0.9207936177
149	0.9202818417
150	0.9199422328
151	0.9194401136
152	0.9189277473
153	0.9181263601
154	0.9176219617
155	0.9168410523
156	0.9158614171
157	0.9149705786
158	0.9146331643
159	0.9143249275
160	0.9134961325
161	0.9125424175
162	0.9119744288
163	0.9110164699
164	0.9107264441
165	0.9102211033
166	0.9097295134
167	0.9094019758
168	0.9084151986
169	0.9081827366
170	0.9076853003
171	0.9069661258
172	0.906567961
173	0.9059672889
174	0.9050742107
175	0.9047826455
176	0.9042533552
177	0.9036969482
178	0.90266838
179	0.9021717764
180	0.9017845143
181	0.9009819293
182	0.9004256051
183	0.8999579782
184	0.899707537
185	0.8994935821
186	0.8989790699
187	0.8983265249
188	0.8976250033
189	0.8969391673
190	0.8964505152
191	0.8957212286
192	0.8952139303
193	0.8949255633
194	0.8944310035
195	0.8936143611
196	0.8926349983
197	0.8919193694
198	0.8911808555
199	0.8908003953
200	0.8904060514
201	0.8898653049
202	0.8893919171
203	0.8886571135
204	0.8877877031
205	0.8867781409
206	0.8864994982
207	0.8857409742
208	0.8851017088
209	0.8841540426
210	0.8833212037
211	0.8827271456
212	0.8819823669
213	0.8812215499
214	0.8804436954
215	0.8799255422
216	0.8792122719
217	0.8788077716
218	0.8778083236
219	0.8772225053
220	0.8767351178
221	0.8765247816
222	0.8762058607
223	0.8758790619
224	0.8754534431
225	0.8748027264
226	0.8742484668
227	0.8739494792
228	0.8730674914
229	0.8722982438
230	0.8714702611
231	0.8711381654
232	0.8705035667
233	0.8698018678
234	0.8690901418
235	0.868585419
236	0.8681523115
237	0.8677819959
238	0.8673644748
239	0.8667999315
240	0.8660269994
241	0.8653653195
242	0.8649301522
243	0.8644498339
244	0.8642339878
245	0.8636072028
246	0.8628900206
247	0.8627193477
248	0.8621262088
249	0.8616837681
250	0.8613932679
251	0.8605889837
252	0.8602511041
253	0.8598326866
254	0.8591946784
255	0.8589150582
256	0.8581642738
257	0.8579244357
258	0.8571548455
259	0.8569350553
260	0.8567261989
261	0.855961892
262	0.8551653529
263	0.8548700754
264	0.8544205684
265	0.8542210539
266	0.8536173123
267	0.8529744019
268	0.8524462105
269	0.851583488
270	0.8509245977
271	0.8505871291
272	0.85027416
273	0.8498144163
274	0.8496096844
275	0.8486162911
276	0.8478122506
277	0.8469396583
278	0.8462378882
279	0.8454317008
280	0.8444698247
281	0.8437800837
282	0.8431800054
283	0.8424246464
284	0.8418131409
285	0.8412262243
286	0.8408802143
287	0.8402774407
288	0.8393398816
289	0.8388411473
290	0.8385311062
291	0.8381553387
292	0.8372216624
293	0.8363420007
294	0.8358022533
295	0.8354274376
296	0.8347995659
297	0.8346360542
298	0.8342719992
299	0.8339424187
