iter	Passed	Remaining
0	348	104224
1	608	90691
2	810	80244
3	1012	74928
4	1235	72907
5	1579	77399
6	1791	74970
7	1995	72833
8	2220	71795
9	2394	69436
10	2617	68756
11	2844	68266
12	3017	66606
13	3172	64808
14	3377	64176
15	3579	63531
16	3770	62774
17	3981	62375
18	4183	61867
19	4415	61815
20	4623	61431
21	4852	61315
22	5062	60965
23	5271	60624
24	5450	59955
25	5635	59387
26	5800	58653
27	5998	58268
28	6151	57481
29	6340	57065
30	6563	56952
31	6777	56760
32	6993	56582
33	7185	56212
34	7368	55787
35	7558	55430
36	7735	54984
37	7884	54358
38	8042	53825
39	8218	53420
40	8394	53026
41	8586	52743
42	8770	52420
43	8967	52172
44	9111	51634
45	9293	51316
46	9459	50922
47	9639	50609
48	9790	50152
49	9948	49741
50	10106	49344
51	10263	48951
52	10427	48593
53	10577	48186
54	10717	47739
55	10900	47497
56	11067	47180
57	11225	46837
58	11444	46746
59	11610	46440
60	11783	46166
61	11994	46041
62	12172	45791
63	12318	45423
64	12500	45194
65	12655	44868
66	12819	44581
67	12983	44295
68	13120	43924
69	13287	43659
70	13468	43439
71	13669	43288
72	13829	43004
73	13993	42736
74	14213	42639
75	14358	42319
76	14533	42090
77	14724	41907
78	14931	41769
79	15102	41532
80	15318	41416
81	15483	41162
82	15662	40947
83	15861	40785
84	16038	40568
85	16205	40324
86	16347	40023
87	16521	39801
88	16734	39672
89	16906	39448
90	17087	39244
91	17238	38972
92	17399	38727
93	17587	38543
94	17785	38378
95	17937	38117
96	18152	37988
97	18296	37713
98	18450	37460
99	18614	37228
100	18767	36978
101	18989	36861
102	19210	36741
103	19389	36541
104	19604	36409
105	19805	36248
106	19968	36017
107	20178	35873
108	20328	35621
109	20472	35361
110	20682	35216
111	21070	35368
112	21260	35182
113	21453	35003
114	21648	34825
115	21827	34623
116	22050	34489
117	22212	34260
118	22379	34040
119	22540	33810
120	22710	33596
121	22923	33445
122	23112	33259
123	23276	33037
124	23458	32841
125	23663	32678
126	23886	32538
127	24063	32335
128	24234	32124
129	24444	31966
130	24580	31711
131	24792	31554
132	24960	31341
133	25161	31170
134	25344	30976
135	25493	30741
136	25701	30578
137	25864	30362
138	26032	30152
139	26208	29952
140	26351	29715
141	26515	29502
142	26709	29324
143	26890	29131
144	27108	28978
145	27272	28766
146	27463	28584
147	27616	28362
148	27830	28204
149	28001	28001
150	28164	27791
151	28341	27595
152	28532	27414
153	28741	27248
154	28907	27042
155	29104	26865
156	29271	26661
157	29485	26499
158	29626	26272
159	29801	26076
160	29990	25892
161	30173	25703
162	30364	25520
163	30605	25380
164	30825	25220
165	31017	25038
166	31191	24841
167	31361	24640
168	31557	24461
169	31719	24255
170	31894	24060
171	32087	23878
172	32257	23680
173	32424	23479
174	32622	23301
175	32793	23104
176	32960	22904
177	33123	22702
178	33312	22518
179	33516	22344
180	33697	22154
181	33870	21959
182	34036	21760
183	34222	21574
184	34436	21406
185	34619	21218
186	34775	21014
187	34937	20813
188	35152	20645
189	35306	20440
190	35473	20244
191	35652	20054
192	35824	19861
193	35971	19654
194	36157	19469
195	36358	19292
196	36575	19123
197	36746	18930
198	36941	18749
199	37121	18560
200	37272	18357
201	37490	18188
202	37644	17987
203	37817	17796
204	38012	17615
205	38191	17427
206	38365	17236
207	38550	17050
208	38715	16857
209	38892	16668
210	39062	16476
211	39213	16277
212	39555	16156
213	39826	16005
214	40007	15816
215	40191	15630
216	40374	15442
217	40543	15250
218	40794	15088
219	40960	14894
220	41152	14710
221	41322	14518
222	41503	14330
223	41682	14142
224	41870	13956
225	42046	13767
226	42225	13578
227	42402	13390
228	42632	13217
229	42807	13028
230	42978	12837
231	43140	12644
232	43380	12474
233	43567	12288
234	43768	12106
235	43938	11915
236	44092	11720
237	44295	11539
238	44445	11343
239	44604	11151
240	44813	10970
241	45015	10788
242	45150	10590
243	45293	10395
244	45451	10203
245	45648	10020
246	45822	9832
247	45971	9639
248	46146	9451
249	46296	9259
250	46446	9067
251	46646	8885
252	46841	8701
253	47025	8516
254	47209	8331
255	47377	8143
256	47568	7958
257	47760	7774
258	47978	7595
259	48147	7407
260	48281	7214
261	48430	7024
262	48640	6842
263	48830	6658
264	49006	6472
265	49161	6283
266	49317	6095
267	49499	5910
268	49701	5727
269	49902	5544
270	50059	5356
271	50208	5168
272	50374	4982
273	50555	4797
274	50700	4609
275	50908	4426
276	51109	4243
277	51280	4058
278	51418	3870
279	51616	3686
280	51826	3504
281	52005	3319
282	52169	3133
283	52378	2950
284	52569	2766
285	52747	2582
286	52926	2397
287	53123	2213
288	53321	2029
289	53488	1844
290	53675	1660
291	53829	1474
292	54043	1291
293	54227	1106
294	54419	922
295	54603	737
296	54777	553
297	54905	368
298	55066	184
299	55292	0
